Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Daily water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
swp: weighted soil water potential                   MPa
ppt : precipitation                                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
soilevap: soil evaporation                            mm
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                      MJ m-2 day-1
qe: latent heat flux                        MJ m-2 day-1
qn: net radiation                           MJ m-2 day-1
qc: soil heat transport                     MJ m-2 day-1
radinterc: total radiation intercepted      MJ m-2 day-1
                                                                                
Columns: day wsoil wsoilroot swp ppt tfall et etmeas discharge soilevap fsoil qh qe qn qc radinterc
      1    366.8156    192.7090     -0.0063      0.0000      0.0000      2.2384      0.0000      0.0315      0.1626      1.0000     -1.3354     -0.3962      1.8575     -0.1259     14.0472
